text,label,priority
Reported: water pipe leakage on street resulting in water waste,Water,Medium
routine light repair and maintenance needed,Electricity,Low
accident scene without proper barricading setup,Police/Traffic,Medium
food stall operating without proper hygiene license,Health Department,Medium
rash driving near school affecting student safety,Police/Traffic,Medium
road needs regular maintenance and sweeping,PWD,Low
Reported: water tap handle broken needs fixing,Water,Low
pickpocketing incidents in crowded market Please take action,Police/Traffic,Medium
health center needs routine inspection and maintenance,Health Department,Low
"light pole slightly tilted, requires straightening",Electricity,Low
broken sidewalk creating walking hazard for citizens,PWD,Medium
severe explosion hazard threatening surrounding buildings Please take action,Fire,High
fire in dense residential area threatening multiple buildings Please take action,Fire,High
traffic sign damaged needs replacement,Police/Traffic,Low
mosquito breeding requiring immediate pest control action,Health Department,Medium
fire equipment maintenance and inspection due,Fire,Low
routine road marking and sign maintenance,PWD,Low
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
critical fire emergency requiring immediate response,Fire,High
dusty light fixtures need cleaning,Electricity,Low
Reported: sewage treatment plant overflow causing environmental damage,Municipality,High
major pothole on main road causing accidents & vehicle damage,PWD,High
minor crack in transformer box,Electricity,Low
reckless drunk driver causing accidents on highway,Police/Traffic,High
mosquito breeding requiring immediate pest control action,Health Department,Medium
major pothole on main road causing accidents and vehicle damage,PWD,High
Reported: minor water pipe repair needed at street corner,Water,Low
Reported: contaminated water supply causing health issues,Water,High
water tap handle broken needs fixing Please take action,Water,Low
damaged road surface needing urgent patching & repair,PWD,Medium
encroachment blocking main road affecting public access,Municipality,High
stolen two wheeler reported in the area,Police/Traffic,Medium
electrical burning smell in residential complex,Fire,Medium
"garbage not collected for several days, piling up Please take action",Municipality,Medium
water tank maintenance not done for months,Water,Medium
contaminated water supply causing health issues,Water,High
routine health facility maintenance required,Health Department,Low
potential fire risk due to electrical issue detected Please take action,Fire,Medium
"robbery incident on main street, criminal still at large",Police/Traffic,High
dangling wires on telephone poles creating hazard,Electricity,Medium
minor electrical maintenance required,Electricity,Low
Reported: traffic noise pollution from horn usage,Police/Traffic,Medium
road needs repainting of lane markings,PWD,Low
Reported: short circuit in street light causing fire risk,Electricity,High
tree branches need pruning for maintenance,Municipality,Low
emergency traffic situation with multiple vehicle collision,Police/Traffic,High
dangerous high voltage transformer sparking dangerously,Electricity,High
pest infestation near food storage area,Health Department,Medium
food poisoning outbreak in locality causing hospitalizations,Health Department,High
encroachment issue needing removal and enforcement action Please take action,Municipality,Medium
food poisoning outbreak in locality causing hospitalizations,Health Department,High
"light pole slightly tilted, needs straightening",Electricity,Low
malaria cases reported in residential locality,Health Department,Medium
old water line needs replacement soon,Water,Low
Reported: fire in dense residential area threatening multiple buildings,Fire,High
open dumping of waste creating health hazard in residential locality,Municipality,High
stray dogs roaming creating nuisance and safety hazard,Health Department,Medium
broken water tap wasting precious water resource,Water,Medium
traffic violation with vehicles breaking red light,Police/Traffic,Medium
unhygienic food preparation in restaurant causing health risk,Health Department,High
park grass needs regular cutting and maintenance,Municipality,Low
water meter needs servicing and calibration Please take action,Water,Low
footpath uneven causing frequent falls & injuries,PWD,Medium
park fence needs minor repair & maintenance,Municipality,Low
street light not working on main road for 3 weeks,Electricity,Medium
clinic needs equipment calibration,Health Department,Low
power outage in hospital during emergency situation,Electricity,High
routine fire safety equipment maintenance needed Please take action,Fire,Low
overflowing dustbin on street creating smell,Municipality,Medium
pharmacy selling expired medicines illegally,Health Department,Medium
power outage in hospital during emergency situation,Electricity,High
"robbery incident on main street, criminal still at large",Police/Traffic,High
